Species,Genus,Sub-family,Family,Order
celebensis,Acerodon,,,
jubatus,Acerodon,,,
macklotii,Acerodon,,,
jubatus,Acinonyx,,,
fulvescens,Acipenser,,,
nasomaculatus,Addax,,,
paca,Agouti,,,
buselaphus,Alcelaphus,,,
alces,Alces,,,
fortis,Alexandromys,,,
limnophilus,Alexandromys,,,
maximowiczii,Alexandromys,,,
oeconomus,Alexandromys,,,
pelagicus,Alopias,,,
,Alpiscaptulus,,,
lervia,Ammotragus,,,
beecrofti,Anomalurus,,,
derbianus,Anomalurus,,,
agrarius,Apodemus,,,
draco,Apodemus,,,
latronum,Apodemus,,,
peninsulae,Apodemus,,,
semotus,Apodemus,,,
sylvaticus,Apodemus,,,
binturong,Arctictis,,,
australis,Arctocephalus,,,
galapagoensis,Arctocephalus,,,
gazella,Arctocephalus,,,
pusillus,Arctocephalus,,,
townsendi,Arctocephalus,,,
simus,Arctodus,,,
trivirgata,Arctogalidia,,,
hartii,Artibeus,,,
hirsutus,Artibeus,,,
jamaicensis,Artibeus,,,
lituratus,Artibeus,,,
nairobae,Arvicanthis,,,
niloticus,Arvicanthis,,,
somalicus,Arvicanthis,,,
amphibius,Arvicola,,,
chamek,Ateles,,,
geoffroyi,Ateles,,,
paniscus,Ateles,,,
acutorostrata,Balaenoptera,,,
bonaerensis,Balaenoptera,,,
borealis,Balaenoptera,,,
brydei,Balaenoptera,,,
edeni,Balaenoptera,,,
musculus,Balaenoptera,,,
omurai,Balaenoptera,,,
physalus,Balaenoptera,,,
ricei,Balaenoptera,,,
beijingensis,Barbastella,,,
bison,Bison,,,
bonasus,Bison,,,
priscus,Bison,,,
gaurus,Bos,,,
grunniens,Bos,,,
javanicus,Bos,,,
primigenius,Bos,,,
taurus,Bos,,,
cavernarum,Brachyphylla,,,
chacoensis,Cabassous,,,
tatouay,Cabassous,,,
jacchus,Callithrix,,,
ursinus,Callorhinus,,,
adamsi,Callosciurus,,,
albescens,Callosciurus,,,
caniceps,Callosciurus,,,
erythraeus,Callosciurus,,,
finlaysonii,Callosciurus,,,
inornatus,Callosciurus,,,
nigrovittatus,Callosciurus,,,
,Camelidae,,,
,Camelops,,,
bactrianus,Camelus,,,
dromedarius,Camelus,,,
ferus,Camelus,,,
aegagrus,Capra,,,
caucasica,Capra,,,
cylindricornis,Capra,,,
falconeri,Capra,,,
hircus,Capra,,,
sibirica,Capra,,,
capreolus,Capreolus,,,
pygargus,Capreolus,,,
milneedwardsii,Capricornis,,,
sumatraensis,Capricornis,,,
indicus,Caprimulgus,,,
pilorides,Capromys,,,
caracal,Caracal,,,
syrichta,Carlito,,,
argynnis,Casinycteris,,,
campomaanensis,Casinycteris,,,
ophiodon,Casinycteris,,,
canadensis,Castor,,,
wagneri,Catagonus,,,
badia,Catopuma,,,
temminckii,Catopuma,,,
pygmaea,Cebuella,,,
callipygus,Cephalophus,,,
dorsalis,Cephalophus,,,
natalensis,Cephalophus,,,
nigrifrons,Cephalophus,,,
ogilbyi,Cephalophus,,,
rufilatus,Cephalophus,,,
simum,Ceratotherium,,,
canadensis,Cervus,,,
elaphus,Cervus,,,
hanglu,Cervus,,,
nippon,Cervus,,,
leucogaster,Chaerephon,,,
pumilus,Chaerephon,,,
vellerosus,Chaetophractus,,,
villosus,Chaetophractus,,,
,Chain,,,
striata,Channa,,,
crossleyi,Cheirogaleus,,,
major,Cheirogaleus,,,
medius,Cheirogaleus,,,
lucifer,Cheracebus,,,
regulus,Cheracebus,,,
torquatus,Cheracebus,,,
gud,Chionomys,,,
nivalis,Chionomys,,,
roberti,Chionomys,,,
salvini,Chiroderma,,,
didactylus,Choloepus,,,
hoffmanni,Choloepus,,,
owstoni,Chrotogale,,,
civetta,Civettictis,,,
gapperi,Clethrionomys,,,
hankugensis,Cobitis,,,
antiquitatis,Coelodonta,,,
chinga,Conepatus,,,
leuconotus,Conepatus,,,
semistriatus,Conepatus,,,
barabensis,Cricetulus,,,
griseus,Cricetulus,,,
platycephalus,Crossarchus,,,
celebensis,Crunomys,,,
fallax,Crunomys,,,
melanius,Crunomys,,,
ochraceiventer,Crunomys,,,
leucodon,Ctenomys,,,
sociabilis,Ctenomys,,,
torquatus,Ctenomys,,,
taczanowskii,Cuniculus,,,
alpinus,Cuon,,,
didactylus,Cyclopes,,,
penicillata,Cynictis,,,
abrasus,Cynomops,,,
mexicanus,Cynomops,,,
brachyotis,Cynopterus,,,
sphinx,Cynopterus,,,
fragment,DNA,,,
choprae,Danio,,,
madagascariensis,Daubentonia,,,
dorsalis,Dendrohyrax,,,
interfluvialis,Dendrohyrax,,,
sumatrensis,Dicerorhinus,,,
bicornis,Diceros,,,
tajacu,Dicotyles,,,
hudsonius,Dicrostonyx,,,
torquatus,Dicrostonyx,,,
megalotis,Dorcatragus,,,
everetti,Dremomys,,,
gularis,Dremomys,,,
lokriah,Dremomys,,,
pyrrhomerus,Dremomys,,,
rufigenis,Dremomys,,,
carolinenis,Dumetella,,,
carolinensis,Dumetella,,,
alba,Ectophylla,,,
cephalophus,Elaphodus,,,
sibiricum,Elasmotherium,,,
brachyrhynchus,Elephantulus,,,
myurus,Elephantulus,,,
minor,Eliurus,,,
webbi,Eliurus,,,
luteus,Eolagurus,,,
spelaea,Eonycteris,,,
baileyi,Eospalax,,,
cansus,Eospalax,,,
fontanierii,Eospalax,,,
smithii,Eospalax,,,
cachinus,Eothenomys,,,
olitor,Eothenomys,,,
setchuanus,Eozapus,,,
areolatus,Epinephelus,,,
crypturus,Epomophorus,,,
gambianus,Epomophorus,,,
minimus,Epomophorus,,,
minor,Epomophorus,,,
wahlbergi,Epomophorus,,,
buettikoferi,Epomops,,,
dobsonii,Epomops,,,
franqueti,Epomops,,,
bottae,Eptesicus,,,
nilssonii,Eptesicus,,,
robustus,Eschrichtius,,,
australis,Eubalaena,,,
glacialis,Eubalaena,,,
rufifrons,Eudorcas,,,
thomsonii,Eudorcas,,,
rufescens,Eugongylus,,,
macaco,Eulemur,,,
rubriventer,Eulemur,,,
rufifrons,Eulemur,,,
glaucinus,Eumops,,,
patagonicus,Eumops,,,
concinnus,Exilisciurus,,,
catus,Felis,,,
margarita,Felis,,,
silvestris,Felis,,,
fossana,Fossa,,,
anselli,Fukomys,,,
damarensis,Fukomys,,,
bennettii,Gazella,,,
cuvieri,Gazella,,,
dorcas,Gazella,,,
erlangeri,Gazella,,,
gazella,Gazella,,,
leptoceros,Gazella,,,
spekei,Gazella,,,
speki,Gazella,,,
subgutturosa,Gazella,,,
camelopardalis,Giraffa,,,
giraffa,Giraffa,,,
reticulata,Giraffa,,,
tippelskirchi,Giraffa,,,
glis,Glis,,,
commissarisi,Glossophaga,,,
leachii,Glossophaga,,,
mutica,Glossophaga,,,
soricina,Glossophaga,,,
beringei,Gorilla,,,
gorilla,Gorilla,,,
polionops,Grammomys,,,
surdaster,Grammomys,,,
kelleni,Graphiurus,,,
murinus,Graphiurus,,,
gulo,Gulo,,,
spadiceus,Hadrosciurus,,,
grypus,Halichoerus,,,
francisci,Haringtonhippus,,,
malayanus,Helarctos,,,
hylocrius,Hemitragus,,,
jemlahicus,Hemitragus,,,
brachyurus,Herpestes,,,
ichneumon,Herpestes,,,
naso,Herpestes,,,
saldiasi,Hippidion,,,
amphibius,Hippopotamus,,,
armiger,Hipposideros,,,
cervinus,Hipposideros,,,
diadema,Hipposideros,,,
dinops,Hipposideros,,,
lylei,Hipposideros,,,
pendleburyi,Hipposideros,,,
pratti,Hipposideros,,,
equinus,Hippotragus,,,
leucophaeus,Hippotragus,,,
niger,Hippotragus,,,
hydrochaeris,Hydrochoerus,,,
inermis,Hydropotes,,,
leptonyx,Hydrurga,,,
klossii,Hylobates,,,
moloch,Hylobates,,,
aeta,Hylomyscus,,,
alleni,Hylomyscus,,,
anselli,Hylomyscus,,,
denniae,Hylomyscus,,,
endorobae,Hylomyscus,,,
heinrichorum,Hylomyscus,,,
kerbispeterhansi,Hylomyscus,,,
pamfi,Hylomyscus,,,
parvus,Hylomyscus,,,
simus,Hylomyscus,,,
stella,Hylomyscus,,,
walterverheyeni,Hylomyscus,,,
alboniger,Hylopetes,,,
phayrei,Hylopetes,,,
ampullatus,Hyperoodon,,,
monstrosus,Hypsignathus,,,
albicauda,Ichneumia,,,
libycus,Ictonyx,,,
striatus,Ictonyx,,,
papillosa,Kerivoula,,,
ellipsiprymnus,Kobus,,,
leche,Kobus,,,
vaigiensis,Kyphosus,,,
albirostris,Lagenorhynchus,,,
poeppigii,Lagothrix,,,
noctivagans,Lasionycteris,,,
anglicus,Lasiopodomys,,,
brandtii,Lasiopodomys,,,
curtatus,Lemmiscus,,,
sibiricus,Lemmus,,,
barbarus,Lemniscomys,,,
rosalia,Lemniscomys,,,
catta,Lemur,,,
guttulus,Leopardus,,,
jacobita,Leopardus,,,
pardalis,Leopardus,,,
tigrinus,Leopardus,,,
sabanus,Leopoldamys,,,
dorsalis,Lepilemur,,,
hollandorum,Lepilemur,,,
microdon,Lepilemur,,,
scottorum,Lepilemur,,,
seali,Lepilemur,,,
wrighti,Lepilemur,,,
serval,Leptailurus,,,
weddellii,Leptonychotes,,,
americanus,Lepus,,,
arcticus,Lepus,,,
californicus,Lepus,,,
capensis,Lepus,,,
